startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,sector_clean,sector_final,sector_confidence,reclassification_layer,original_sector
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,19-04-2023,Edtech,Edtech,medium,regex,EdTech
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,28-01-2025,Other,Fintech,high,name_lookup,Media
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000,14-03-2021,EV/Cleantech,Fintech,high,name_lookup,Mobility
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000,11-09-2023,Other,Deeptech,medium,regex,Consumer Electronics
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,31-01-2024,Proptech,Ecommerce/D2C,high,name_lookup,RealEstate
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,24-07-2021,Edtech,Edtech,medium,regex,EdTech
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000,12-01-2023,Ecommerce/D2C,EV/Cleantech,high,name_lookup,Retail
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,22-01-2025,Other,SaaS/Enterprise,low,investor,Consumer Electronics
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000,27-11-2023,Foodtech,EV/Cleantech,high,name_lookup,FoodTech
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000,04-05-2020,Edtech,Edtech,medium,regex,EdTech
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000,19-05-2020,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,10-04-2023,Fintech,Fintech,medium,regex,FinTech
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,07-10-2023,SaaS/Enterprise,SaaS/Enterprise,medium,regex,SaaS
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,23-07-2020,Fintech,Fintech,high,name_lookup,FinTech
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,05-12-2024,Logistics,Logistics,medium,regex,Logistics
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000,10-07-2024,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000,29-02-2024,Healthtech,Foodtech,high,name_lookup,HealthTech
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,28-01-2025,Edtech,Edtech,medium,regex,EdTech
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,28-04-2024,SaaS/Enterprise,Healthtech,high,name_lookup,Enterprise
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,22-02-2023,Healthtech,Healthtech,high,name_lookup,HealthTech
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,30-05-2022,SaaS/Enterprise,SaaS/Enterprise,medium,regex,Enterprise
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000,26-05-2021,Ecommerce/D2C,Fintech,high,name_lookup,Retail
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,12000,29-04-2021,Agritech,SaaS/Enterprise,high,name_lookup,AgriTech
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000,23-04-2022,Fintech,Fintech,medium,regex,FinTech
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000,23-02-2025,Fintech,Fintech,medium,regex,FinTech
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,905000,05-11-2024,Proptech,Proptech,medium,regex,RealEstate
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,26-02-2020,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,08-06-2022,Healthtech,Foodtech,high,name_lookup,HealthTech
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,24-01-2021,EV/Cleantech,EV/Cleantech,medium,regex,Mobility
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,23-05-2020,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000,30-10-2021,Logistics,Logistics,medium,regex,Logistics
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000,08-09-2021,Foodtech,Foodtech,medium,regex,FoodTech
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000,10-08-2022,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000,04-08-2021,Ecommerce/D2C,Ecommerce/D2C,medium,regex,Retail
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,11-02-2021,SaaS/Enterprise,EV/Cleantech,high,name_lookup,Enterprise
