startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,2023-04-19,2023,4,Edtech,Seed/Angel,Mumbai
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,2025-01-28,2025,1,Other,Seed/Angel,Bengaluru
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000,2021-03-14,2021,3,EV/Cleantech,Series B,Hyderabad
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000,2023-09-11,2023,9,Other,Seed/Angel,Delhi/NCR
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,2024-01-31,2024,1,Proptech,Seed/Angel,Mumbai
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,2021-07-24,2021,7,Edtech,Seed/Angel,Delhi/NCR
Ola,Retail,Fashion,Mumbai,Tiger Global Management,Seed,62000,2023-01-12,2023,1,Ecommerce/D2C,Seed/Angel,Mumbai
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,2025-01-22,2025,1,Other,Late Stage,Delhi/NCR
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global Management",Seed,459000,2023-11-27,2023,11,Foodtech,Seed/Angel,Kolkata
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000,2020-05-04,2020,5,Edtech,Series B,Ahmedabad
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000,2020-05-19,2020,5,EV/Cleantech,Seed/Angel,Delhi/NCR
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,2023-04-10,2023,4,Fintech,Seed/Angel,Mumbai
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,2023-10-07,2023,10,SaaS/Enterprise,Seed/Angel,Hyderabad
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,2020-07-23,2020,7,Fintech,Debt,Ahmedabad
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,2024-12-05,2024,12,Logistics,Late Stage,Pune
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000,2024-07-10,2024,7,EV/Cleantech,Series A,Hyderabad
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000,2024-02-29,2024,2,Healthtech,Late Stage,Mumbai
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,2025-01-28,2025,1,Edtech,Series A,Delhi/NCR
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,2024-04-28,2024,4,SaaS/Enterprise,Seed/Angel,Bengaluru
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,2023-02-22,2023,2,Healthtech,Series B,Delhi/NCR
